INSTNM,Nickname,City,"State/Province",Enrollment,Conference
Academy of Art University,Urban Knights,San Francisco,California,"8,928",Pacific West Conference
Adams State University,Grizzlies,Alamosa,Colorado,"3,164",Rocky Mountain Athletic Conference
Adelphi University,Panthers,Garden City,New York,"7,584",Northeast-10 Conference
University of Alabama in Huntsville,Chargers,Huntsville,Alabama,"9,999",Gulf South Conference
University of Alaska Anchorage,Seawolves,Anchorage,Alaska,"11,953",Great Northwest Athletic Conference
University of Alaska Fairbanks,Nanooks,Fairbanks,Alaska,"6,813",Great Northwest Athletic Conference
Albany State University,Golden Rams,Albany,Georgia,"6,509",Southern Intercollegiate Athletic Conference
Alderson Broaddus University,Battlers,Philippi,West Virginia,863,Mountain East Conference
Alliance University (New York City),Warriors,New York City,New York,"2,063",Central Atlantic Collegiate Conference
American International College,Yellow Jackets,Springfield,Massachusetts,"2,612",Northeast-10 Conference
Anderson University,Trojans,Anderson,South Carolina,"3,848",South Atlantic Conference
Angelo State University,Rams & Rambelles,San Angelo,Texas,"10,775",Lone Star Conference
Arkansas Tech University,Wonder Boys & Golden Suns,Russellville,Arkansas,"10,829",Great American Conference
University of Arkansas–Fort Smith,Lions,Fort Smith,Arkansas,"5,887",Lone Star Conference
University of Arkansas at Monticello,Boll Weevils & Cotton Blossoms,Monticello,Arkansas,"2,645",Great American Conference
Ashland University,Eagles,Ashland,Ohio,"4,447",Great Midwest Athletic Conference
Assumption University,Greyhounds,Worcester,Massachusetts,"2,448",Northeast-10 Conference
Auburn University at Montgomery,Warhawks,Montgomery,Alabama,"5,212",Gulf South Conference
Augusta University,Jaguars,Augusta,Georgia,"8,920",Peach Belt Conference
Augustana University,Vikings,Sioux Falls,South Dakota,"2,019",Northern Sun Intercollegiate Conference
Azusa Pacific University,Cougars,Azusa,California,"9,006",Pacific West Conference
Barry University,Buccaneers,Miami Shores,Florida,"7,515",Sunshine State Conference
Barton College,Bulldogs,Wilson,North Carolina,"1,177",Conference Carolinas
Belmont Abbey College,Crusaders,Belmont,North Carolina,"1,467",Conference Carolinas
Bemidji State University,Beavers,Bemidji,Minnesota,"4,577",Northern Sun Intercollegiate Conference
Benedict College,Tigers,Columbia,South Carolina,"2,140",Southern Intercollegiate Athletic Conference
