,INSTNM,LOCALE,LATITUDE,LONGITUDE,ADM_RATE,UGDS,ENDOWEND
1,University of Alabama at Birmingham,12.0,33.505697,-86.799345,0.806,13549.0,539858544.0
3,University of Alabama in Huntsville,12.0,34.724557,-86.640449,0.7711,7825.0,75837207.0
4,Alabama State University,12.0,32.364317,-86.295677,0.9888,3603.0,111315175.0
5,The University of Alabama,12.0,33.211875,-87.545978,0.8039,30610.0,939393269.0
8,Auburn University at Montgomery,12.0,32.36736,-86.177544,0.9555,4301.0,52113787.0
9,Auburn University,13.0,32.599378,-85.488258,0.8507,24368.0,784621493.0
10,Birmingham-Southern College,12.0,33.513774,-86.850552,0.6045,1129.0,49403369.0
15,Faulkner University,12.0,32.384181,-86.21641,0.7576,1834.0,17838794.0
22,Huntingdon College,12.0,32.351034,-86.284366,0.5439,917.0,51910937.0
23,Heritage Christian University,13.0,34.856153,-87.663051,0.6667,70.0,12502663.0
26,Jacksonville State University,23.0,33.822938,-85.765321,0.6369,6776.0,13976189.0
29,Judson College,43.0,32.629253,-87.315206,0.5648,219.0,14047540.0
31,University of West Alabama,43.0,32.588132,-88.186329,0.9313,2247.0,428958.0
33,Marion Military Institute,43.0,32.623734,-87.322041,0.575,400.0,3592219.0
35,University of Mobile,41.0,30.793247,-88.128934,0.6657,1164.0,17265742.0
36,University of Montevallo,21.0,33.10625,-86.865099,0.6052,2186.0,24840444.0
38,University of North Alabama,13.0,34.806738,-87.681361,0.8266,5411.0,39458675.0
40,Oakwood University,12.0,34.756344,-86.652705,0.8881,1320.0,20201402.0
43,Samford University,21.0,33.464128,-86.791799,0.8399,3573.0,332869066.0
46,University of South Alabama,12.0,30.696033,-88.178711,0.7303,8787.0,470288000.0
47,Spring Hill College,12.0,30.694751,-88.138199,0.5416,1058.0,17236188.0
48,Stillman College,12.0,33.200006,-87.585278,0.5553,699.0,18932197.0
51,Troy University,33.0,31.800672,-85.957094,0.9243,12294.0,152060888.0
52,Tuskegee University,32.0,32.4309,-85.708492,0.6113,2280.0,123415957.0
55,University of Alaska Anchorage,11.0,61.190163,-149.82619,0.7683,8257.0,60842848.0
57,University of Alaska Fairbanks,23.0,64.85756,-147.823146,0.6701,4259.0,114179961.0
58,University of Alaska Southeast,33.0,58.384846,-134.638255,0.6352,1063.0,6773153.0
59,Alaska Pacific University,11.0,61.190968,-149.804168,0.9065,298.0,78389954.0
70,Arizona State University Campus Immersion,12.0,33.417721,-111.934383,0.8837,62633.0,840572378.0
72,University of Arizona,11.0,32.232672,-110.950815,0.8513,34659.0,976567843.0
79,Embry-Riddle Aeronautical University-Prescott,41.0,34.616766,-112.449741,0.6685,2959.0,51768000.0
88,Northern Arizona University,13.0,35.188449,-111.653724,0.8164,24880.0,203671000.0
95,Prescott College,13.0,34.5452,-112.477185,0.9842,413.0,2243628.0
101,Arizona Christian University,21.0,33.622952,-112.181776,0.7147,883.0,251427.0
105,University of Arkansas at Little Rock,12.0,34.723254,-92.339778,0.5604,5620.0,137934462.0
110,Lyon College,33.0,35.777619,-91.625354,0.5015,665.0,97668919.0
113,University of Arkansas,13.0,36.070009,-94.176981,0.7767,22624.0,1209277289.0
114,University of Arkansas at Pine Bluff,13.0,34.244031,-92.018683,0.5966,2440.0,7488701.0
116,Arkansas State University,13.0,35.842388,-90.679988,0.6719,7739.0,82311424.0
117,Arkansas Tech University,33.0,35.293237,-93.13562,0.9766,7384.0,49075714.0
120,Baptist Health College Little Rock,12.0,34.713115,-92.40692,0.5,661.0,8304161.0
122,University of Central Arkansas,13.0,35.077945,-92.457672,0.9378,8237.0,37677482.0
123,Central Baptist College,13.0,35.083838,-92.445021,0.4981,554.0,3624265.0
131,Harding University,32.0,35.247386,-91.726143,0.5507,3492.0,166223072.0
132,Henderson State University,32.0,34.128155,-93.059703,0.749,2603.0,22488060.0
133,Hendrix College,13.0,35.101565,-92.443256,0.7054,1065.0,181804465.0
136,John Brown University,32.0,36.189812,-94.560283,0.5886,1437.0,126697574.0
